area_type,availability,location,size,society,total_sqft,bath,balcony,price,imagePath,email,address,contact_number
Built-up  Area,Ready To Move,Babusapalaya,2 BHK,No Society,1105,2,1,40,/House_Pics/63.jpg,cluchims@rerit.com,17  Park Avenue  mekhricircle  Bangalore - 560006,9212248107
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,Vapasrk,3035,5,3,220,/House_Pics/64.jpg,avmptiel@gzysy.com,78  Second Road  whitefield  Bangalore - 560066,9183729366
Plot  Area,Ready To Move,Bannerghatta Road,6 Bedroom,No Society,1200,6,3,160,/House_Pics/65.jpg,llhjqory@hbnzs.com,76  First Avenue  yelahanka  Bangalore - 560064,8907169153
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1662,3,0,90,/House_Pics/66.jpg,fwauhqga@wumfv.com,66  Park Avenue  whitefield  Bangalore - 560066,8089547511
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,PuziaVe,1556,3,2,86,/House_Pics/67.jpg,hdrcatok@qknkn.com,43  Elm Street  yelahanka  Bangalore - 560064,9486693069
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,918,2,2,50,/House_Pics/68.jpg,cfumfvlh@axwwg.com,29  Park Avenue  whitefield  Bangalore - 560066,9537256728
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Mades G,1455,2,1,98,/House_Pics/69.jpg,nlgoymae@taoec.com,43  Elm Street  mekhricircle  Bangalore - 560006,8318732960
Super built-up  Area,Ready To Move,Jakkasandra Extension,2 BHK,No Society,1205,2,1,70,/House_Pics/70.jpg,fawmfyra@mxlmu.com,10  Elm Street  mekhricircle  Bangalore - 560006,8261307312
Super built-up  Area,Ready To Move,BEML Layout,2 BHK,No Society,1194,2,1,65,/House_Pics/71.jpg,jvqbvkdn@pgbpi.com,53  Park Avenue  btm  Bangalore - 560076,9984013477
Plot  Area,Ready To Move,Laggere,2 Bedroom,No Society,1200,2,0,75,/House_Pics/72.jpg,oykxixrm@gxkoe.com,59  Elm Street  electroniccity  Bangalore - 560100,8703072586
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Pyvenas,1100,2,2,52,/House_Pics/73.jpg,eblcdroq@dcldi.com,89  Main Street  hebbal  Bangalore - 560024,8090360616
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,S2kaaan,1405,3,2,48.87,/House_Pics/74.jpg,lqjtvzzt@ssvta.com,91  First Avenue  btm  Bangalore - 560076,9703942975
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2,1,56,/House_Pics/75.jpg,zzmfjali@fboby.com,73  First Avenue  mekhricircle  Bangalore - 560006,9283158089
Built-up  Area,Ready To Move,Frazer Town,4 BHK,Asuilnc,3436,5,0,341,/House_Pics/76.jpg,julpokdn@nrirs.com,92  Main Street  electroniccity  Bangalore - 560100,9746485755
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,No Society,1035,2,1,39.33,/House_Pics/77.jpg,pnwmjcvh@ljwox.com,55  Main Street  whitefield  Bangalore - 560066,8902327210
Super built-up  Area,Ready To Move,8th Phase JP Nagar,4 BHK,No Society,2100,4,3,92,/House_Pics/78.jpg,zgosjqpm@gdmfl.com,18  Park Avenue  electroniccity  Bangalore - 560100,9804278423
Super built-up  Area,17-Jul,Channasandra,2 BHK,Unm 2El,1065,2,1,40.47,/House_Pics/79.jpg,ajybqwsm@hhctf.com,59  Second Road  mekhricircle  Bangalore - 560006,8583518886
Super built-up  Area,22-Dec,Bannerghatta Road,3 BHK,PrarePa,1365,3,0,84.29,/House_Pics/80.jpg,uynpdaao@yvncw.com,100  Park Avenue  whitefield  Bangalore - 560066,9149048552
Plot  Area,Ready To Move,Kengeri,6 Bedroom,No Society,1500,6,3,150,/House_Pics/81.jpg,iwmbhytr@ydqan.com,96  Second Road  electroniccity  Bangalore - 560100,9519933472
Plot  Area,Ready To Move,Hullahalli,5 Bedroom,No Society,1200,5,2,99,/House_Pics/0.jpg,aqzmvjvt@cpxrm.com,42  Elm Street  btm  Bangalore - 560076,9428409869
Super built-up  Area,18-Apr,Hormavu,2 BHK,No Society,1093,2,1,32.78,/House_Pics/1.jpg,mofwxadz@apqff.com,31  Elm Street  whitefield  Bangalore - 560066,9443036368
Built-up  Area,Ready To Move,Anandapura,2 BHK,LoLeoen,1250,2,2,45,/House_Pics/2.jpg,bpllqgwa@sgqrq.com,85  Park Avenue  electroniccity  Bangalore - 560100,8559437150
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Asintas,1680,3,3,105,/House_Pics/3.jpg,gskgycry@kgjrh.com,7  Second Road  mekhricircle  Bangalore - 560006,9535296008
Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,Shentpa,1146,2,1,50,/House_Pics/4.jpg,bqbgpmgn@vfswa.com,4  Main Street  hebbal  Bangalore - 560024,8162995243
Super built-up  Area,18-Apr,Jagajyothi layout,2 BHK,No Society,1250,2,3,58,/House_Pics/5.jpg,piioowfc@kqedp.com,95  First Avenue  yelahanka  Bangalore - 560064,9962613629
Super built-up  Area,17-Oct,Ramagondanahalli,3 BHK,ViistLa,1451,3,1,60.44,/House_Pics/6.jpg,cwrnotmf@yejgn.com,30  Main Street  hebbal  Bangalore - 560024,9887779259
Super built-up  Area,Ready To Move,Nobo Nagar,3 BHK,Elacet ,1424,2,3,55,/House_Pics/7.jpg,qddzugha@vxzjb.com,68  Main Street  mekhricircle  Bangalore - 560006,9007905294
Super built-up  Area,Ready To Move,Gottigere,3 BHK,Krryll ,1435,2,3,62,/House_Pics/8.jpg,gtbzjtha@ffxsc.com,93  Park Avenue  yelahanka  Bangalore - 560064,8524527334
Super built-up  Area,18-Apr,Devanahalli,1 BHK,Sabixtt,658,1,0,26.91,/House_Pics/9.jpg,lajijwpb@rhrrr.com,97  Elm Street  whitefield  Bangalore - 560066,9793912666
Super built-up  Area,18-Jan,Bommanahalli,3 BHK,No Society,1300,3,2,45,/House_Pics/10.jpg,gmxwmqyr@pxuod.com,21  Elm Street  whitefield  Bangalore - 560066,8807994606
Super built-up  Area,Ready To Move,Whitefield,2 BHK,FoityIn,1242,2,2,65,/House_Pics/11.jpg,wjlshpll@qbyhh.com,20  Second Road  whitefield  Bangalore - 560066,8900339995
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,No Society,1910,3,3,119,/House_Pics/12.jpg,wbsgepzz@litar.com,36  Park Avenue  whitefield  Bangalore - 560066,8172238677
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,PrrloMo,1610,4,2,85,/House_Pics/13.jpg,qkxeeybi@xaptx.com,49  Main Street  yelahanka  Bangalore - 560064,8115923608
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Reiteee,1127,2,1,65,/House_Pics/14.jpg,gizdrugi@twzua.com,48  Second Road  hebbal  Bangalore - 560024,8313139746
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,No Society,1075,2,1,42,/House_Pics/15.jpg,yyowkann@qcvrr.com,5  Elm Street  yelahanka  Bangalore - 560064,9220863746
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,No Society,1155,2,1,51,/House_Pics/16.jpg,dyowctuo@gjbmh.com,47  Elm Street  mekhricircle  Bangalore - 560006,8300434909
Plot  Area,Ready To Move,Lakkasandra Extension,5 Bedroom,No Society,1280,3,1,250,/House_Pics/17.jpg,iwurlluq@ktkkr.com,30  Main Street  yelahanka  Bangalore - 560064,9794182933
Super built-up  Area,Ready To Move,Krishna Reddy Layout,3 BHK,ThntsAp,1250,3,1,55,/House_Pics/18.jpg,upewpyrd@oifyl.com,93  Second Road  whitefield  Bangalore - 560066,9242828455
Plot  Area,18-Mar,Kuvempu Layout,3 Bedroom,LGeete ,2200,4,2,160,/House_Pics/19.jpg,vmeszxxr@skpsa.com,76  First Avenue  yelahanka  Bangalore - 560064,9050316377
Built-up  Area,Ready To Move,Billekahalli,3 Bedroom,No Society,2400,3,1,150,/House_Pics/20.jpg,qtiraiwm@wjroo.com,98  Main Street  whitefield  Bangalore - 560066,9497406386
Super built-up  Area,Ready To Move,Chandapura,2 BHK,PavesGr,876,2,2,29.5,/House_Pics/21.jpg,zfhkipoy@gplwm.com,78  Park Avenue  btm  Bangalore - 560076,9536080967
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,No Society,1850,2,2,89,/House_Pics/22.jpg,sddloisb@otlko.com,52  First Avenue  whitefield  Bangalore - 560066,8028631490
Super built-up  Area,18-Apr,Kadugodi,2 BHK,Alestrb,1314,2,3,83,/House_Pics/23.jpg,tzjsdxps@vgkdq.com,14  Elm Street  whitefield  Bangalore - 560066,9217259251
Super built-up  Area,20-Aug,Rachenahalli,1 BHK,AsNowre,690,1,1,39.8,/House_Pics/24.jpg,rchhnfdh@cznqi.com,64  Main Street  btm  Bangalore - 560076,9625032901
Built-up  Area,Ready To Move,Electronic City Phase II,4 Bedroom,Shrds O,3500,0,0,167.5,/House_Pics/25.jpg,xpxozzxd@fshbs.com,90  Elm Street  electroniccity  Bangalore - 560100,9094246182
Built-up  Area,Ready To Move,Srirampura,2 BHK,HooudSi,1230,2,3,55,/House_Pics/26.jpg,wexeeuoc@eptkj.com,68  Second Road  whitefield  Bangalore - 560066,8126628013
Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,920,2,1,37.2,/House_Pics/27.jpg,tlikdxew@zczls.com,74  Second Road  hebbal  Bangalore - 560024,9102230804
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,1850,3,3,140,/House_Pics/28.jpg,gecbqxli@cihvr.com,55  Elm Street  electroniccity  Bangalore - 560100,8427388027
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Goty  E,1073,2,2,60,/House_Pics/29.jpg,kdxenhdt@pousm.com,52  Elm Street  electroniccity  Bangalore - 560100,8297187554
Super built-up  Area,Ready To Move,Maithri Layout,3 BHK,Lalipa ,1540,3,3,76,/House_Pics/30.jpg,qnteoora@xkyky.com,29  Main Street  whitefield  Bangalore - 560066,8862814274
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550,3,3,63.5,/House_Pics/31.jpg,svtwwipf@acrzg.com,41  Park Avenue  btm  Bangalore - 560076,9040930382
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,Satle C,1198,2,1,65,/House_Pics/32.jpg,oycgujwf@fiibi.com,61  Main Street  electroniccity  Bangalore - 560100,9662429792
Super built-up  Area,Ready To Move,HBR Layout,3 BHK,HMtesle,1656,3,2,90,/House_Pics/33.jpg,xlbyhkne@spgnv.com,84  First Avenue  btm  Bangalore - 560076,9024984604
Super built-up  Area,Ready To Move,Kaveri Nagar,3 BHK,Roiti A,1900,3,3,155,/House_Pics/34.jpg,dbwtvhde@dgcpj.com,15  Second Road  electroniccity  Bangalore - 560100,9249941606
Built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,DNeremo,1910,3,2,142,/House_Pics/35.jpg,ysdptegt@tiwkl.com,73  Elm Street  hebbal  Bangalore - 560024,9379103910
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,No Society,1003,2,1,43,/House_Pics/36.jpg,ilclenmw@rcart.com,95  Park Avenue  btm  Bangalore - 560076,9904639761
Built-up  Area,Ready To Move,Chickpet,2 BHK,No Society,122,2,0,48,/House_Pics/37.jpg,oxwkgjkh@ezbrl.com,2  Second Road  mekhricircle  Bangalore - 560006,8805045903
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Sonviik,1495,2,0,67,/House_Pics/38.jpg,stwdudst@lhutt.com,2  Main Street  whitefield  Bangalore - 560066,9272943781
Super built-up  Area,19-Dec,Thanisandra,3 BHK,DSity S,2172,3,2,76.02,/House_Pics/39.jpg,qcqxtvha@qlvfn.com,2  First Avenue  mekhricircle  Bangalore - 560006,9383028642
Plot  Area,Ready To Move,Sarakki Nagar,4 Bedroom,No Society,2400,4,2,358,/House_Pics/40.jpg,lzqnalmy@hkrwe.com,72  Park Avenue  hebbal  Bangalore - 560024,9923259086
Plot  Area,Ready To Move,T G extension,2 Bedroom,No Society,1200,1,2,95,/House_Pics/41.jpg,qutxjdwl@dckul.com,61  Second Road  whitefield  Bangalore - 560066,8320351958
Super built-up  Area,Ready To Move,Whitefield,3 BHK,DSe 2ie,1548,3,1,65,/House_Pics/42.jpg,pirfysdf@mvziz.com,41  Main Street  whitefield  Bangalore - 560066,9808307145
Plot  Area,18-Mar,2nd Block Koramangala,7 Bedroom,No Society,5400,5,0,972,/House_Pics/43.jpg,ibdhgrcz@gohjr.com,87  Second Road  hebbal  Bangalore - 560024,9225626111
Super built-up  Area,18-Dec,Whitefield,4 BHK,Prtates,2830,5,0,154.5,/House_Pics/44.jpg,xgrnaaph@aihbl.com,70  Park Avenue  whitefield  Bangalore - 560066,8253448486
Super built-up  Area,18-Jul,Hosur Road,3 BHK,PuendWe,1689,3,1,103,/House_Pics/45.jpg,qhfbajsy@ufdkq.com,72  Second Road  btm  Bangalore - 560076,9050707537
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,No Society,1031,2,1,53,/House_Pics/46.jpg,ueeliqpx@oqucx.com,84  Second Road  electroniccity  Bangalore - 560100,9420735493
Super built-up  Area,18-Jul,Bhoganhalli,4 BHK,Rosha I,2119,4,2,111,/House_Pics/47.jpg,tasveedr@legul.com,74  Elm Street  mekhricircle  Bangalore - 560006,9668370542
Plot  Area,18-Dec,Whitefield,2 Bedroom,No Society,1200,2,2,46.13,/House_Pics/48.jpg,mealxeuy@hntjh.com,35  Main Street  whitefield  Bangalore - 560066,8694610899
Super built-up  Area,Ready To Move,JCR Layout,2 BHK,No Society,1060,2,2,37,/House_Pics/49.jpg,kfzaacox@uwexk.com,99  First Avenue  btm  Bangalore - 560076,9287556383
Super built-up  Area,Ready To Move,Devi Nagar,2 BHK,RMerslu,1100,2,1,61,/House_Pics/50.jpg,avgoeehw@yxqlb.com,84  Second Road  btm  Bangalore - 560076,9364353796
Plot  Area,Ready To Move,GKW Layout,4 Bedroom,No Society,1350,4,2,225,/House_Pics/51.jpg,dplbljve@hadft.com,68  Second Road  whitefield  Bangalore - 560066,9579966595
Plot  Area,Ready To Move,Gandhi Nagar,5 Bedroom,No Society,1050,4,1,80,/House_Pics/52.jpg,qieosyju@nzxhw.com,91  First Avenue  whitefield  Bangalore - 560066,8310661021
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Mileeou,1250,2,1,77.88,/House_Pics/53.jpg,cdmuryyn@onkmn.com,57  Second Road  whitefield  Bangalore - 560066,9731348201
Super built-up  Area,18-May,8th Block Jayanagar,2 BHK,No Society,1100,2,2,110,/House_Pics/54.jpg,lddtiwsw@pdldb.com,18  First Avenue  yelahanka  Bangalore - 560064,8448836964
Plot  Area,18-Aug,Whitefield,2 Bedroom,No Society,1200,2,1,46.13,/House_Pics/55.jpg,juyvmwvc@ssmwk.com,35  Park Avenue  whitefield  Bangalore - 560066,9780897592
Super built-up  Area,Ready To Move,Seegehalli,3 BHK,No Society,1420,2,2,46,/House_Pics/56.jpg,hbnruchj@rxryj.com,82  Second Road  whitefield  Bangalore - 560066,8033096228
Super built-up  Area,18-Apr,Electronic City,3 BHK,GMown E,1500,2,1,78,/House_Pics/57.jpg,xgqnfmkx@qvrlh.com,6  Second Road  electroniccity  Bangalore - 560100,8295831791
Built-up  Area,Ready To Move,OLd Gurappanapalya,3 BHK,SoliaMa,1942,3,1,155,/House_Pics/58.jpg,dnbxiifn@sstay.com,33  Park Avenue  mekhricircle  Bangalore - 560006,8440453605
Super built-up  Area,18-Dec,Haralur Road,3 BHK,NDiteio,1985,3,2,130,/House_Pics/59.jpg,xzurvxcx@zafxp.com,52  Park Avenue  electroniccity  Bangalore - 560100,9930322653
Super built-up  Area,18-Apr,Sarjapur  Road,1 BHK,Kiare S,950,1,0,39.9,/House_Pics/60.jpg,fuaxmkub@dapnw.com,5  Main Street  electroniccity  Bangalore - 560100,9198981140
Plot  Area,Ready To Move,AMS Layout,3 Bedroom,No Society,1200,4,2,80,/House_Pics/61.jpg,aemqqjnt@ofess.com,2  Second Road  btm  Bangalore - 560076,8487581600
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Solia D,1752,3,2,105,/House_Pics/62.jpg,ldtmvjgj@brgry.com,22  First Avenue  mekhricircle  Bangalore - 560006,8502685013
Plot  Area,Ready To Move,Abbigere,4 Bedroom,No Society,1200,3,2,120,/House_Pics/63.jpg,xeajwymn@eeogm.com,67  First Avenue  btm  Bangalore - 560076,8560855964
Plot  Area,Ready To Move,Mahalakshmi Layout,5 Bedroom,No Society,1200,5,1,200,/House_Pics/64.jpg,ytgtmtup@jxexv.com,27  Main Street  hebbal  Bangalore - 560024,8376202474
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brglede,1480,2,2,84,/House_Pics/65.jpg,owcltjjv@jiabl.com,51  Elm Street  electroniccity  Bangalore - 560100,9417832556
Plot  Area,Ready To Move,Jnana Ganga Nagar,3 Bedroom,No Society,600,4,1,81,/House_Pics/66.jpg,qfkwtjmy@icjuv.com,26  Elm Street  hebbal  Bangalore - 560024,9851990637
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Saitya ,1826,3,2,130,/House_Pics/67.jpg,iultbviu@rbhol.com,86  Main Street  whitefield  Bangalore - 560066,8488952952
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,No Society,1035,2,1,39.33,/House_Pics/68.jpg,exboeclo@vkpap.com,87  Main Street  electroniccity  Bangalore - 560100,9803166240
Built-up  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Saacesa,2600,4,0,98,/House_Pics/69.jpg,fhqqgvdt@eoigt.com,28  First Avenue  btm  Bangalore - 560076,9744131659
Built-up  Area,Ready To Move,Kasavanhalli,3 BHK,No Society,1667,3,2,92,/House_Pics/70.jpg,ylnyglym@pqjza.com,86  Elm Street  whitefield  Bangalore - 560066,9576363333
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,934,2,2,55,/House_Pics/71.jpg,agobuzci@oswzf.com,100  Second Road  btm  Bangalore - 560076,9852267306
Built-up  Area,Ready To Move,JP Nagar,3 BHK,No Society,84,3,1,69.34,/House_Pics/72.jpg,bsgmotms@zfaln.com,34  Elm Street  mekhricircle  Bangalore - 560006,8714017131
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,Neisei ,1620,2,1,76,/House_Pics/73.jpg,cirlzapi@alify.com,86  First Avenue  btm  Bangalore - 560076,8333029647
Super built-up  Area,17-Jun,Electronic City,2 BHK,GMown E,1070,2,1,47,/House_Pics/74.jpg,xfuokwze@gaytc.com,80  First Avenue  electroniccity  Bangalore - 560100,9162170344
Built-up  Area,Ready To Move,Hosur Road,5 Bedroom,No Society,3600,5,3,180,/House_Pics/75.jpg,pfibbhkk@jwgsf.com,78  Elm Street  yelahanka  Bangalore - 560064,9767197055
Super built-up  Area,18-Apr,Uttarahalli,3 BHK,No Society,1280,2,2,60,/House_Pics/76.jpg,tsuveloa@upsia.com,76  Park Avenue  whitefield  Bangalore - 560066,9496949786
Super built-up  Area,Ready To Move,rr nagar,2 BHK,No Society,1400,2,2,60,/House_Pics/77.jpg,ilgplbpb@djkod.com,28  Elm Street  yelahanka  Bangalore - 560064,8426177481
Plot  Area,Ready To Move,Vishveshwarya Layout,7 Bedroom,No Society,1200,8,0,180,/House_Pics/78.jpg,vjybvjjs@hiqol.com,95  First Avenue  btm  Bangalore - 560076,9362230840
Built-up  Area,Ready To Move,Varthur Road  ,2 BHK,No Society,1330,2,1,64,/House_Pics/79.jpg,dgqpyqrr@ozapt.com,92  Park Avenue  electroniccity  Bangalore - 560100,9223126303
Super built-up  Area,19-Dec,Balagere,2 BHK,Soresea,1012,2,1,54.59,/House_Pics/80.jpg,pcuiwhha@xjepv.com,23  Main Street  yelahanka  Bangalore - 560064,9243109420
Super built-up  Area,19-Dec,Electronic City Phase II,3 BHK,DSineSt,1611,2,2,48.33,/House_Pics/81.jpg,wyvheyuz@codgn.com,62  Elm Street  electroniccity  Bangalore - 560100,9641376302
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Gamesti,1405,3,2,58,/House_Pics/0.jpg,gosmmufx@zbncw.com,91  Main Street  whitefield  Bangalore - 560066,8001786366
Super built-up  Area,Ready To Move,VGP Layout,3 BHK,Vaurtar,1515,3,3,90,/House_Pics/1.jpg,zjnuldlk@rldmk.com,14  First Avenue  yelahanka  Bangalore - 560064,8678156538
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,1830,4,2,150,/House_Pics/2.jpg,ofavzyns@xjknb.com,23  Park Avenue  btm  Bangalore - 560076,9770684541
Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Omncy R,1710,3,0,60,/House_Pics/3.jpg,hmgjvgry@vrsrz.com,49  First Avenue  electroniccity  Bangalore - 560100,9291671580
Built-up  Area,Ready To Move,BTM Layout,2 BHK,Varala ,935,2,1,51.5,/House_Pics/4.jpg,pgtiuilf@ksniy.com,45  Main Street  btm  Bangalore - 560076,8887878982
Super built-up  Area,18-Apr,Jakkur,3 BHK,No Society,2197,3,2,136,/House_Pics/5.jpg,rvsvpbce@vdsql.com,88  First Avenue  whitefield  Bangalore - 560066,8306975573
Plot  Area,Ready To Move,TC Palaya,4 Bedroom,No Society,600,4,0,65,/House_Pics/6.jpg,bnjucmgv@nzkum.com,57  First Avenue  yelahanka  Bangalore - 560064,9127268511
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1678,3,0,92.13,/House_Pics/7.jpg,htaexjxn@knucg.com,23  First Avenue  electroniccity  Bangalore - 560100,8660827860
Built-up  Area,Ready To Move,Brookefield,3 BHK,Roeekbl,1410,2,0,80,/House_Pics/8.jpg,xmtnqjdl@gmmkh.com,30  Park Avenue  hebbal  Bangalore - 560024,8849913912
Super built-up  Area,Ready To Move,Jakkur,2 BHK,AvensGa,1125,2,2,65,/House_Pics/9.jpg,gupwyowm@wmfku.com,96  Elm Street  btm  Bangalore - 560076,8719154692
Super built-up  Area,Ready To Move,Magadi Road,3 BHK,Vrenty ,1191,2,1,55.38,/House_Pics/10.jpg,ehiypbsr@lgnhf.com,51  Second Road  electroniccity  Bangalore - 560100,8149219580
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,No Society,1200,2,2,79,/House_Pics/11.jpg,prethyry@buejv.com,98  First Avenue  electroniccity  Bangalore - 560100,9410234406
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Keera R,1525,2,3,67,/House_Pics/12.jpg,zsjnajfd@waqfk.com,17  First Avenue  yelahanka  Bangalore - 560064,8782577629
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,No Society,1464,3,3,56,/House_Pics/13.jpg,ngdqchmd@mskpu.com,91  Elm Street  electroniccity  Bangalore - 560100,9136336087
Super built-up  Area,18-Dec,Seegehalli,2 BHK,No Society,920,2,1,27,/House_Pics/14.jpg,wugtkxsu@meryz.com,72  Elm Street  electroniccity  Bangalore - 560100,9878035685
Built-up  Area,Ready To Move,Yelahanka,1 BHK,No Society,651,1,1,17.5,/House_Pics/15.jpg,yudprgxm@irurq.com,38  Elm Street  yelahanka  Bangalore - 560064,9438179158
Super built-up  Area,Ready To Move,Chikkabanavar,2 BHK,Javasya,600,1,2,25,/House_Pics/16.jpg,ckbhspju@iptnt.com,87  Elm Street  whitefield  Bangalore - 560066,8577043706
Super built-up  Area,18-Sep,Chandapura,1 BHK,SunceEs,645,1,1,16.45,/House_Pics/17.jpg,kshaeatb@arphx.com,86  Park Avenue  hebbal  Bangalore - 560024,8140605365
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185,2,2,44,/House_Pics/18.jpg,ydgfvwan@ejwyc.com,66  Main Street  whitefield  Bangalore - 560066,9152846785
Super built-up  Area,18-May,Electronics City Phase 1,2 BHK,Shitt S,1190,2,1,68,/House_Pics/19.jpg,lvuedscn@opkcq.com,88  Elm Street  electroniccity  Bangalore - 560100,8356033808
Plot  Area,Ready To Move,Harohalli,2 Bedroom,No Society,2,2,0,200,/House_Pics/20.jpg,qgcxsbhz@bsqtj.com,5  First Avenue  yelahanka  Bangalore - 560064,9882935543
Super built-up  Area,18-Dec,Whitefield,4 BHK,Prtates,2830,5,0,158.5,/House_Pics/21.jpg,iviwzfnr@mctzu.com,90  Park Avenue  whitefield  Bangalore - 560066,9336434347
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veale R,1355,2,3,73,/House_Pics/22.jpg,poossnzq@qgsif.com,25  Park Avenue  whitefield  Bangalore - 560066,9110113862
Plot  Area,Ready To Move,KR Puram,2 Bedroom,No Society,1200,1,0,65,/House_Pics/23.jpg,bgqepzak@zydzf.com,57  Main Street  electroniccity  Bangalore - 560100,8631041037
Plot  Area,Ready To Move,Kundalahalli,4 Bedroom,No Society,7000,4,3,550,/House_Pics/24.jpg,pcjjxlug@tmlim.com,3  Elm Street  yelahanka  Bangalore - 560064,9078220227
Plot  Area,Ready To Move,Ramamurthy Nagar,6 Bedroom,No Society,1200,4,1,110,/House_Pics/25.jpg,wzpzobbt@vpfwq.com,39  Elm Street  whitefield  Bangalore - 560066,8917375409
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,KHatsFl,500,2,1,24,/House_Pics/26.jpg,ppopikyl@nzczf.com,5  Second Road  yelahanka  Bangalore - 560064,9669917078
Super built-up  Area,Ready To Move,Bommasandra Industrial Area,3 BHK,Stkarrd,1250,3,3,50,/House_Pics/27.jpg,iebzkntt@tspfw.com,5  Elm Street  btm  Bangalore - 560076,9829920561
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,No Society,1480,2,1,58,/House_Pics/28.jpg,mlecbosn@zrqfp.com,1  Elm Street  electroniccity  Bangalore - 560100,9365960974
Built-up  Area,Ready To Move,Ambalipura,4 BHK,Toeadp ,3300,4,2,329,/House_Pics/29.jpg,imkfxjjj@imuzi.com,67  First Avenue  electroniccity  Bangalore - 560100,8965347024
Super built-up  Area,18-May,KR Puram,3 BHK,TGasyhu,1482,0,0,70.445,/House_Pics/30.jpg,juvciulk@yiuhe.com,59  Elm Street  whitefield  Bangalore - 560066,8496872158
Super built-up  Area,Ready To Move,Green Woods Layout,2 BHK,Paarklu,1206,2,1,53,/House_Pics/31.jpg,szouybhe@gpzps.com,19  Main Street  mekhricircle  Bangalore - 560006,8824082002
Super built-up  Area,18-Aug,Rajaji Nagar,2 BHK,ProdsWe,1357,2,1,130,/House_Pics/32.jpg,twaxipay@xyyeo.com,3  First Avenue  electroniccity  Bangalore - 560100,8927497583
Built-up  Area,Ready To Move,Hosakerehalli,2 BHK,No Society,925,2,1,46.5,/House_Pics/33.jpg,hpxvnocg@pkgxu.com,14  Elm Street  yelahanka  Bangalore - 560064,8104636658
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,MBodsen,909,2,1,40.9,/House_Pics/34.jpg,gbhlhxat@quaed.com,93  Second Road  whitefield  Bangalore - 560066,9568743562
Plot  Area,Ready To Move,Seegehalli,3 Bedroom,Stndeil,3000,5,2,335,/House_Pics/35.jpg,jzkqqmli@wzais.com,25  Park Avenue  mekhricircle  Bangalore - 560006,9642980751
Built-up  Area,Ready To Move,Brookefield,2 BHK,Bhiya N,1100,2,1,55,/House_Pics/36.jpg,lxrkpvrm@wattq.com,50  Second Road  whitefield  Bangalore - 560066,8472803890
Plot  Area,18-May,Malleshwaram,4 Bedroom,No Society,3000,5,2,815,/House_Pics/37.jpg,eyrqkvyx@etiqm.com,18  First Avenue  whitefield  Bangalore - 560066,8986940097
